RecordId,SuspectsRaceAsAGroup,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
CA00-0000027860,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000027861,Black or African American,Grocery/Supermarket,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000027862,Black or African American,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000027863,Black or African American,Specialty Store (TV/Fur/etc.),Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000027864,Hispanic,Parking Lot/Garage,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000027865,Black or African American,Parking Lot/Garage,Anti-Jewish,Religion
CA00-0000027866,Unknown,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027867,White,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027868,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000027869,Hispanic,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027871,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027872,Unknown,Residence/Home/Driveway,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000027873,Hispanic,Church/Synagogue/Temple,Anti-Other Religion,Religion
CA00-0000027874,Hispanic,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027875,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000027876,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000027877,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000027878,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027879,Hispanic,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027880,White,Highway/Road/Alley/Street,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000027881,Black or African American,Convenience Store,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000027882,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000027883,Black or African American,Other/Unknown,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000027884,White,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000027885,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027886,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000027887,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000027888,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000027889,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027890,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000027891,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000027892,Hispanic,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027893,Hispanic,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027894,White,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027895,White,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027896,Hispanic,School-College/University,Anti-White,Race/Ethnicity/Ancestry
CA00-0000027897,White,School-Elementary/Secondary,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027898,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027899,Unknown,Construction Site,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000027900,Unknown,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming
CA00-0000027901,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027902,Unknown,School-Elementary/Secondary,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027903,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027904,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000027905,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027906,Unknown,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027907,Unknown,Other/Unknown,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000027908,Unknown,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000027909,Unknown,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027910,White,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027911,Unknown,Parking Lot/Garage,Anti-Islamic (Muslim),Religion
CA00-0000027913,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000027914,White,Grocery/Supermarket,Anti-Islamic (Muslim),Religion
CA00-0000027915,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
