RecordID,MonthOccurrence,SuspectsRaceAsAGroup,MostSeriousUCR,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
CA00-0000035383,3,Black or African American,Simple Assault,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000035404,3,Asian,Intimidation,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000035502,3,Black or African American,Simple Assault,Air/Bus/Train Terminal,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000035636,4,White,Intimidation,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000035709,6,Unknown,Destruction/Damage/Vandalism,Restaurant,Anti-Jewish,Religion
CA00-0000035859,7,Unknown,Destruction/Damage/Vandalism,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000035988,7,Black or African American,Intimidation,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036019,6,White,Destruction/Damage/Vandalism,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036026,4,White,Destruction/Damage/Vandalism,Commercial/Office Building,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000036034,6,White,Destruction/Damage/Vandalism,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
