record_id,suspects_race_as_a_group,most_serious_location,most_serious_bias,most_serious_bias_type
CA00-0000024505,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000024702,Unknown,Restaurant,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000024756,Asian/Pacific Islander,Specialty Store (TV/Fur/etc.),Anti-Gay (Male),Sexual Orientation
CA00-0000024959,Unknown,Church/Synagogue/Temple,Anti-Multiple Religions (Group),Religion
CA00-0000025163,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000025261,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000025406,Unknown,Residence/Home/Driveway,Anti-Jewish,Religion
CA00-0000025435,Black or African American,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000025690,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000025904,Hispanic,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming
CA00-0000026012,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000026104,Unknown,Parking Lot/Garage,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000026206,Unknown,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000026400,Hispanic,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000026742,Hispanic,Industrial Site,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027015,Black or African American,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000027137,Unknown,Restaurant,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000027289,White,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000028034,Unknown,Church/Synagogue/Temple,Anti-Jewish,Religion
CA00-0000028290,Hispanic,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000028542,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000029055,White,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000029480,White,Highway/Road/Alley/Street,Anti-Hindu,Religion
CA00-0000029590,Black or African American,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000029769,White,Church/Synagogue/Temple,Anti-Protestant,Religion
CA00-0000029797,Black or African American,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA00-0000029979,Black or African American,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry
CA00-0000030426,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000030468,Black or African American,Air/Bus/Train Terminal,Anti-Gay (Male),Sexual Orientation
CA00-0000030739,White,Service/Gas Station,Anti-Bisexual,Sexual Orientation
CA00-0000031122,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000031395,Black or African American,Other/Unknown,Anti-Gay (Male),Sexual Orientation
CA00-0000031598,Asian,Other/Unknown,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000031636,White,Other/Unknown,Anti-Transgender,Gender Nonconforming
CA00-0000032068,White,Park/Playground,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000032076,White,Government/Public Building,Anti-White,Race/Ethnicity/Ancestry
CA00-0000032086,Unknown,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
